,Standardized_Job_Title,Skill,Count
0,Analytics,airflow,1
1,Analytics,aws,1
2,Analytics,azure,2
3,Analytics,dashboarding,1
4,Analytics,data visualization,16
5,Analytics,databricks,1
6,Analytics,etl,2
7,Analytics,excel,19
8,Analytics,gcp,1
9,Analytics,java,1
10,Analytics,leadership,2
11,Analytics,market research,1
12,Analytics,matplotlib,1
13,Analytics,pandas,2
14,Analytics,power bi,16
15,Analytics,presentation,1
16,Analytics,python,16
17,Analytics,r,1
18,Analytics,seaborn,1
19,Analytics,snowflake,2
20,Analytics,sql,15
21,Analytics,statistics,3
22,Analytics,tableau,12
23,Business Analyst,business analysis,6
24,Business Analyst,excel,11
25,Business Analyst,leadership,2
26,Business Analyst,llm,2
27,Business Analyst,market research,1
28,Business Analyst,power bi,1
29,Business Analyst,presentation,2
30,Business Analyst,python,1
31,Business Analyst,sql,1
32,Business Analyst,statistics,1
33,Data Analyst,artificial intelligence,2
34,Data Analyst,aws,4
35,Data Analyst,azure,3
36,Data Analyst,big data,1
37,Data Analyst,business analysis,1
38,Data Analyst,dashboarding,5
39,Data Analyst,data visualization,28
40,Data Analyst,etl,7
41,Data Analyst,excel,12
42,Data Analyst,gcp,4
43,Data Analyst,ggplot2,1
44,Data Analyst,kpi,4
45,Data Analyst,leadership,3
46,Data Analyst,matplotlib,3
47,Data Analyst,numpy,6
48,Data Analyst,oracle,1
49,Data Analyst,pandas,7
50,Data Analyst,power bi,16
51,Data Analyst,presentation,2
52,Data Analyst,python,21
53,Data Analyst,r,10
54,Data Analyst,seaborn,1
55,Data Analyst,snowflake,1
56,Data Analyst,sql,25
57,Data Analyst,stakeholder management,3
58,Data Analyst,statistics,9
59,Data Analyst,tableau,13
60,Data Analyst,tensorflow,1
61,Data Engineer,airflow,15
62,Data Engineer,aws,10
63,Data Engineer,azure,9
64,Data Engineer,big data,5
65,Data Engineer,dashboarding,1
66,Data Engineer,data visualization,4
67,Data Engineer,databricks,5
68,Data Engineer,dbt,8
69,Data Engineer,etl,21
70,Data Engineer,gcp,8
71,Data Engineer,hadoop,3
72,Data Engineer,java,5
73,Data Engineer,llm,1
74,Data Engineer,mongodb,4
75,Data Engineer,mysql,3
76,Data Engineer,nlp,1
77,Data Engineer,oracle,2
78,Data Engineer,pandas,1
79,Data Engineer,postgresql,3
80,Data Engineer,power bi,3
81,Data Engineer,python,17
82,Data Engineer,scala,2
83,Data Engineer,snowflake,8
84,Data Engineer,spark,11
85,Data Engineer,sql,21
86,Data Engineer,stakeholder management,2
87,Data Engineer,statistics,1
88,Data Engineer,tableau,4
89,Data Scientist,airflow,1
90,Data Scientist,artificial intelligence,1
91,Data Scientist,aws,6
92,Data Scientist,azure,4
93,Data Scientist,big data,3
94,Data Scientist,business analysis,1
95,Data Scientist,computer vision,2
96,Data Scientist,dashboarding,1
97,Data Scientist,data preprocessing,5
98,Data Scientist,data visualization,8
99,Data Scientist,databricks,1
100,Data Scientist,etl,1
101,Data Scientist,excel,4
102,Data Scientist,gcp,2
103,Data Scientist,hadoop,3
104,Data Scientist,java,1
105,Data Scientist,leadership,2
106,Data Scientist,llm,3
107,Data Scientist,matplotlib,2
108,Data Scientist,mongodb,2
109,Data Scientist,nlp,3
110,Data Scientist,numpy,6
111,Data Scientist,pandas,6
112,Data Scientist,postgresql,1
113,Data Scientist,power bi,3
114,Data Scientist,presentation,3
115,Data Scientist,python,15
116,Data Scientist,pytorch,5
117,Data Scientist,r,5
118,Data Scientist,scala,1
119,Data Scientist,seaborn,2
120,Data Scientist,snowflake,1
121,Data Scientist,spark,6
122,Data Scientist,sql,10
123,Data Scientist,stakeholder management,1
124,Data Scientist,statistics,10
125,Data Scientist,tableau,5
126,Data Scientist,tensorflow,7
127,Machine Learning Engineer,artificial intelligence,2
128,Machine Learning Engineer,aws,2
129,Machine Learning Engineer,azure,2
130,Machine Learning Engineer,big data,1
131,Machine Learning Engineer,computer vision,1
132,Machine Learning Engineer,gcp,2
133,Machine Learning Engineer,leadership,2
134,Machine Learning Engineer,llm,3
135,Machine Learning Engineer,nlp,4
136,Machine Learning Engineer,numpy,1
137,Machine Learning Engineer,oracle,1
138,Machine Learning Engineer,pandas,2
139,Machine Learning Engineer,python,9
140,Machine Learning Engineer,pytorch,5
141,Machine Learning Engineer,r,1
142,Machine Learning Engineer,sql,2
143,Machine Learning Engineer,statistics,3
144,Machine Learning Engineer,tableau,1
145,Machine Learning Engineer,tensorflow,5
146,Other,airflow,1
147,Other,aws,4
148,Other,big data,11
149,Other,dashboarding,3
150,Other,data visualization,8
151,Other,etl,4
152,Other,excel,2
153,Other,hadoop,1
154,Other,java,1
155,Other,kpi,1
156,Other,leadership,1
157,Other,llm,1
158,Other,nlp,1
159,Other,power bi,4
160,Other,python,3
161,Other,snowflake,3
162,Other,spark,2
163,Other,sql,5
164,Other,tableau,1
165,Product Analyst,big data,1
166,Product Analyst,dashboarding,1
167,Product Analyst,data visualization,4
168,Product Analyst,excel,2
169,Product Analyst,market research,1
170,Product Analyst,nlp,1
171,Product Analyst,power bi,2
172,Product Analyst,python,5
173,Product Analyst,r,4
174,Product Analyst,sql,4
175,Product Analyst,tableau,2
